"産　業　分　類","事業所数","従業者合計（A＋B＋C＋D）_計","従業者合計（A＋B＋C＋D）_男","従業者合計（A＋B＋C＋D）_女","個人事業主及び無給家族従業者（A）　_男","個人事業主及び無給家族従業者（A）　_女","常用労働者_雇用者_正社員・正職員（B）_男","常用労働者_雇用者_正社員・正職員（B）_女","常用労働者_雇用者_ﾊﾟｰﾄ・ｱﾙﾊﾞｲﾄ等（C）_男","常用労働者_雇用者_ﾊﾟｰﾄ・ｱﾙﾊﾞｲﾄ等（C）_女","常用労働者_出向・派遣受入者（D）_男","常用労働者_出向・派遣受入者（D）_女","臨時雇用者_男","臨時雇用者_女"
"13_家具_組合・その他の法人","1.0","5.0","3.0","2.0","-","-","1.0","1.0","2.0","1.0","-","-","-","-"
"13_家具_個人","27.0","168.0","123.0","45.0","29.0","15.0","77.0","13.0","17.0","17.0","-","-","1.0","1.0"
"14_紙パ","35.0","935.0","628.0","307.0","6.0","3.0","525.0","121.0","85.0","178.0","12.0","5.0","-","-"
"14_紙パ_会社","28.0","895.0","612.0","283.0","-","-","519.0","117.0","81.0","161.0","12.0","5.0","-","-"
"14_紙パ_組合・その他の法人","1.0","10.0","2.0","8.0","-","-","2.0","3.0","-","5.0","-","-","-","-"
"14_紙パ_個人","6.0","30.0","14.0","16.0","6.0","3.0","4.0","1.0","4.0","12.0","-","-","-","-"
"15_印刷","64.0","945.0","633.0","312.0","15.0","10.0","553.0","178.0","63.0","123.0","2.0","1.0","3.0","21.0"
"15_印刷_会社","49.0","859.0","595.0","264.0","-","-","535.0","162.0","58.0","101.0","2.0","1.0","3.0","18.0"
"15_印刷_組合・その他の法人","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"15_印刷_個人","15.0","86.0","38.0","48.0","15.0","10.0","18.0","16.0","5.0","22.0","-","-","-","3.0"
"16_化学","72.0","4960.0","3878.0","1082.0","2.0","1.0","3681.0","688.0","107.0","267.0","88.0","126.0","-","3.0"
"16_化学_会社","68.0","4913.0","3850.0","1063.0","-","-","3656.0","675.0","106.0","262.0","88.0","126.0","-","3.0"
"16_化学_組合・その他の法人","2.0","34.0","19.0","15.0","-","-","18.0","11.0","1.0","4.0","-","-","-","-"
"16_化学_個人","2.0","13.0","9.0","4.0","2.0","1.0","7.0","2.0","-","1.0","-","-","-","-"
"17_石油","9.0","952.0","897.0","55.0","-","-","845.0","36.0","5.0","2.0","47.0","17.0","-","-"
"17_石油_会社","8.0","945.0","891.0","54.0","-","-","841.0","35.0","3.0","2.0","47.0","17.0","-","-"
"17_石油_組合・その他の法人","1.0","7.0","6.0","1.0","-","-","4.0","1.0","2.0","-","-","-","-","-"
"17_石油_個人","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"18_プラ","94.0","2001.0","1233.0","768.0","11.0","5.0","1040.0","312.0","169.0","443.0","13.0","8.0","13.0","11.0"
"18_プラ_会社","82.0","1873.0","1207.0","666.0","-","-","1036.0","301.0","159.0","360.0","12.0","5.0","11.0","11.0"
"18_プラ_組合・その他の法人","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"18_プラ_個人","12.0","128.0","26.0","102.0","11.0","5.0","4.0","11.0","10.0","83.0","1.0","3.0","2.0","-"
"19_ゴム","16.0","994.0","582.0","412.0","-","-","501.0","102.0","33.0","306.0","48.0","4.0","-","1.0"
"19_ゴム_会社","16.0","994.0","582.0","412.0","-","-","501.0","102.0","33.0","306.0","48.0","4.0","-","1.0"
"19_ゴム_組合・その他の法人","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19_ゴム_個人","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"20_皮革","11.0","112.0","64.0","48.0","-","3.0","51.0","25.0","12.0","20.0","1.0","-","-","-"
"20_皮革_会社","7.0","89.0","50.0","39.0","-","-","41.0","22.0","9.0","17.0","-","-","-","-"
"20_皮革_組合・その他の法人","2.0","15.0","12.0","3.0","-","-","8.0","2.0","3.0","1.0","1.0","-","-","-"
"20_皮革_個人","2.0","8.0","2.0","6.0","-","3.0","2.0","1.0","-","2.0","-","-","-","-"
"21_窯業","90.0","1427.0","1230.0","197.0","3.0","2.0","1037.0","133.0","132.0","59.0","58.0","3.0","17.0","-"
"21_窯業_会社","83.0","1368.0","1187.0","181.0","-","-","1001.0","127.0","129.0","51.0","57.0","3.0","16.0","-"
"21_窯業_組合・その他の法人","3.0","25.0","22.0","3.0","-","-","20.0","2.0","2.0","1.0","-","-","1.0","-"
"21_窯業_個人","4.0","34.0","21.0","13.0","3.0","2.0","16.0","4.0","1.0","7.0","1.0","-","-","-"
"22_鉄鋼","31.0","3507.0","3272.0","235.0","-","-","3110.0","177.0","62.0","39.0","100.0","19.0","-","-"
"22_鉄鋼_会社","31.0","3507.0","3272.0","235.0","-","-","3110.0","177.0","62.0","39.0","100.0","19.0","-","-"
"22_鉄鋼_組合・その他の法人","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"22_鉄鋼_個人","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"23_非鉄","10.0","540.0","403.0","137.0","1.0","-","356.0","75.0","14.0","38.0","32.0","24.0","-","-"
"23_非鉄_会社","9.0","535.0","399.0","136.0","-","-","353.0","74.0","14.0","38.0","32.0","24.0","-","-"
"23_非鉄_組合・その他の法人","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"23_非鉄_個人","1.0","5.0","4.0","1.0","1.0","-","3.0","1.0","-","-","-","-","-","-"
"24_金属","160.0","3204.0","2620.0","584.0","26.0","14.0","2282.0","303.0","226.0","247.0","86.0","20.0","32.0","-"
"24_金属_会社","138.0","3045.0","2498.0","547.0","-","-","2199.0","292.0","218.0","235.0","81.0","20.0","32.0","-"
"24_金属_組合・その他の法人","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"24_金属_個人","22.0","159.0","122.0","37.0","26.0","14.0","83.0","11.0","8.0","12.0","5.0","-","-","-"
"25_は用","61.0","3301.0","2763.0","538.0","1.0","-","1936.0","190.0","381.0","234.0","445.0","114.0","1.0","1.0"
"25_は用_会社","60.0","3297.0","2759.0","538.0","-","-","1933.0","190.0","381.0","234.0","445.0","114.0","1.0","1.0"
"25_は用_組合・その他の法人","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"25_は用_個人","1.0","4.0","4.0","-","1.0","-","3.0","-","-","-","-","-","-","-"
"26_生産","108.0","4283.0","3475.0","808.0","6.0","2.0","3233.0","489.0","138.0","276.0","98.0","41.0","5.0","-"
"26_生産_会社","101.0","4238.0","3439.0","799.0","-","-","3207.0","485.0","134.0","273.0","98.0","41.0","4.0","-"
"26_生産_組合・その他の法人","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"26_生産_個人","7.0","45.0","36.0","9.0","6.0","2.0","26.0","4.0","4.0","3.0","-","-","1.0","-"
"27_業務","10.0","920.0","650.0","270.0","2.0","-","623.0","89.0","20.0","180.0","5.0","1.0","3.0","2.0"
"27_業務_会社","8.0","910.0","645.0","265.0","-","-","620.0","87.0","20.0","177.0","5.0","1.0","3.0","2.0"
"27_業務_組合・その他の法人","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27_業務_個人","2.0","10.0","5.0","5.0","2.0","-","3.0","2.0","-","3.0","-","-","-","-"
"28_電子","10.0","924.0","616.0","308.0","2.0","1.0","472.0","173.0","6.0","83.0","136.0","51.0","6.0","-"
"28_電子_会社","8.0","898.0","608.0","290.0","-","-","468.0","169.0","4.0","70.0","136.0","51.0","5.0","-"
"28_電子_組合・その他の法人","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"28_電子_個人","2.0","26.0","8.0","18.0","2.0","1.0","4.0","4.0","2.0","13.0","-","-","1.0","-"
"29_電気","32.0","1309.0","749.0","560.0","2.0","1.0","619.0","226.0","65.0","247.0","63.0","86.0","-","16.0"
"29_電気_会社","29.0","1270.0","745.0","525.0","-","-","618.0","225.0","64.0","214.0","63.0","86.0","-","16.0"
"29_電気_組合・その他の法人","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"29_電気_個人","3.0","39.0","4.0","35.0","2.0","1.0","1.0","1.0","1.0","33.0","-","-","-","-"
"30_情報","4.0","318.0","179.0","139.0","-","-","169.0","106.0","6.0","25.0","4.0","8.0","-","2.0"
"30_情報_会社","4.0","318.0","179.0","139.0","-","-","169.0","106.0","6.0","25.0","4.0","8.0","-","2.0"
"30_情報_組合・その他の法人","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"30_情報_個人","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"31_輸送","25.0","850.0","628.0","222.0","2.0","-","590.0","84.0","32.0","138.0","4.0","-","19.0","9.0"
"31_輸送_会社","23.0","828.0","616.0","212.0","-","-","581.0","82.0","31.0","130.0","4.0","-","19.0","9.0"
"31_輸送_組合・その他の法人","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"31_輸送_個人","2.0","22.0","12.0","10.0","2.0","-","9.0","2.0","1.0","8.0","-","-","-","-"
"32_そ他","85.0","1261.0","688.0","573.0","25.0","9.0","561.0","240.0","81.0","314.0","21.0","10.0","1.0","9.0"
"32_そ他_会社","62.0","1051.0","567.0","484.0","-","-","488.0","208.0","59.0","266.0","20.0","10.0","-","7.0"
"32_そ他_組合・その他の法人","2.0","77.0","58.0","19.0","-","-","44.0","7.0","14.0","12.0","-","-","-","-"
"32_そ他_個人","21.0","133.0","63.0","70.0","25.0","9.0","29.0","25.0","8.0","36.0","1.0","-","1.0","2.0"
