"品目番号","品　　　　目　　　　名","産      出事業所数","製造品出荷額等　　（万円）","品目番号"
"106191","配合飼料（賃加工）","2.0","χ","106191.0"
"106211","単体飼料","2.0","χ","106211.0"
"106311","有機質肥料","1.0","χ","106311.0"
"","","","",""
"11　繊維","11　繊維工業","422.0","6729089.0","11　繊維"
"111226","ポリプロピレン長繊維糸・短繊維","1.0","χ","111226"
"111229","その他の化学繊維","1.0","χ","111229"
"111291","化学繊維（賃加工）","2.0","χ","111291.0"
"111391","炭素繊維（賃加工）","1.0","χ","111391.0"
"111411","純綿糸（落綿糸を含む）","1.0","χ","111411"
"111519","その他の化学繊維紡績糸","1.0","χ","111519"
"111691","毛紡績糸（賃加工）","1.0","χ","111691.0"
"111714","その他の合成繊維ねん糸","2.0","χ","111714"
"111719","その他のねん糸","1.0","χ","111719"
"111791","ねん糸（賃加工）","1.0","χ","111791.0"
"111811","かさ高加工糸","1.0","χ","111811"
"111891","かさ高加工糸（賃加工）","1.0","χ","111891.0"
"111991","その他の紡績糸（賃加工）","1.0","χ","111991.0"
"112112","かなきん、粗布、てんじく、細布、ネル","1.0","χ","112112"
"112119","その他の綿広幅生地織物","2.0","χ","112119"
"112121","タオル地","1.0","χ","112121"
"112141","ビスコース・スフ織物","1.0","χ","112141"
"112142","アクリル紡績糸織物","6.0","19587.0","112142"
"112143","ポリエステル紡績糸織物","4.0","21175.0","112143"
"112151","綿・スフ・合成繊維毛布地","1.0","χ","112151"
"112191","綿・スフ織物（合成繊維織物を含む）（賃加工）","4.0","16575.0","112191.0"
"112241","ビスコース人絹織物","1.0","χ","112241"
"112339","その他の毛織物(紡毛を含む）","1.0","χ","112339"
"112511","細幅織物","2.0","χ","112511"
"112911","モケット","8.0","72461.0","112911"
"112919","他に分類されない織物","1.0","χ","112919"
"112991","その他の織物（賃加工）","4.0","4951.0","112991.0"
"113111","綿丸編ニット生地","33.0","1170032.0","113111"
"113112","合成繊維丸編ニット生地","20.0","766866.0","113112"
"113119","その他の繊維製丸編ニット生地","9.0","148908.0","113119"
"113191","丸編ニット生地（賃加工）","29.0","147472.0","113191.0"
"113211","たて編ニット生地","4.0","12593.0","113211"
"113291","たて編ニット生地（賃加工）","2.0","χ","113291.0"
"113311","横編ニット生地（半製品を含む）","2.0","χ","113311"
"113391","横編ニット生地（半製品を含む）（賃加工）","1.0","χ","113391.0"
"114191","綿・スフ・麻織物機械染色（賃加工）","5.0","553751.0","114191.0"
"114192","合成繊維紡績糸織物機械染色（賃加工）","1.0","χ","114192.0"
"114291","絹・人絹織物機械染色（賃加工）","1.0","χ","114291.0"
"114391","毛織物機械染色・整理（賃加工）","1.0","χ","114391.0"
"114491","綿織物機械整理（賃加工）","2.0","χ","114491.0"
"114493","その他の織物機械整理（賃加工）","4.0","32237.0","114493.0"
"114591","綿織物手加工染色・整理（賃加工）","2.0","χ","114591.0"
"114691","綿状繊維・糸染色整理（賃加工）","2.0","χ","114691.0"
"114692","合成繊維糸・その他の糸染整理（賃加工）","2.0","χ","114692.0"
"114791","ニット・レース染色・整理（賃加工）","4.0","177511.0","114791.0"
"114891","繊維雑品染色・整理（起毛を含む）（賃加工）","2.0","χ","114891.0"
"115111","合成繊維ロープ・コード・トワイン","12.0","286865.0","115111"
"115119","その他の繊維製ロープ･コード･トワイン（麻を含む）","4.0","28130.0","115119"
"115191","ロープ・コード・トワイン（賃加工）","3.0","5594.0","115191.0"
"115219","その他の漁網","2.0","χ","115219"
"115311","漁網以外の網地","1.0","χ","115311"
"115412","編レース生地","1.0","χ","115412"
"115511","組ひも","1.0","χ","115511"
"115691","整毛（賃加工）","2.0","χ","115691.0"
"115791","フェルト・不織布（賃加工）","2.0","χ","115791.0"
"115891","上塗りした織物・防水した織物（賃加工）","1.0","χ","115891.0"
"115911","紋紙（ジャカードカード）","1.0","χ","115911"
"115912","ふとん綿（中入綿を含む）","2.0","χ","115912"
"115919","他に分類されない繊維粗製品","2.0","χ","115919"
"115991","その他の繊維粗製品（製綿を含む）（賃加工）","2.0","χ","115991.0"
"116116","織物製成人男子・少年用ゴム引合羽・レインコート･ビニル合羽","3.0","11072.0","116116"
"116191","織物製成人男子・少年服（賃加工）","2.0","χ","116191.0"
"116211","織物製成人女子・少女用ワンピース･スーツ上衣（ブレザー､ジャンパー等を含む）","2.0","χ","116211"
"116291","織物製成人女子・少女服（賃加工）","10.0","54061.0","116291.0"
"116311","織物製乳幼児服","1.0","χ","116311"
"116391","織物製乳幼児服（賃加工）","2.0","χ","116391.0"
"116511","織物製事務用・作業用・衛生用衣服","1.0","χ","116511"
"116512","織物製スポーツ用衣服","1.0","χ","116512"
"116513","織物製成人男子・少年用学校服上衣・オーバーコート類","1.0","χ","116513"
"116514","織物製成人男子・少年用学校服ズボン","1.0","χ","116514"
"116515","織物製成人女子・少女用学校服上衣・オーバーコート類","1.0","χ","116515"
"116516","織物製成人女子・少女用学校服スカート・ズボン","1.0","χ","116516"
"116591","織物製事務用・作業用・衛生用・スポーツ用衣服（賃加工）","3.0","2202.0","116591.0"
"116691","ニット製外衣（アウターシャツ類、セーター類などを除く）（賃加工）","1.0","χ","116691.0"
"116711","ニット製アウターシャツ類","11.0","97263.0","116711"
"116791","ニット製アウターシャツ類（賃加工）","29.0","85769.0","116791.0"
"116811","ニット製成人男子・少年用セーター・カーディガン・ベスト類","1.0","χ","116811"
"116812","ニット製成人女子・少女用セーター・カーディガン・ベスト類","1.0","χ","116812"
"116891","セーター類（賃加工）","1.0","χ","116891.0"
"116991","その他の外衣・シャツ（賃加工）","3.0","15267.0","116991.0"
"117211","ニット製肌着","1.0","χ","117211"
"117311","織物製寝着類（和式のものを除く）","2.0","χ","117311"
"117312","ニット製寝着類","2.0","χ","117312"
"117391","織物製・ニット製寝着類（賃加工）","7.0","37707.0","117391.0"
"118191","和装製品（足袋を含む）（賃加工）","1.0","χ","118191.0"
"118312","ハンカチーフ","1.0","χ","118312"
"118411","ソックス","4.0","125984.0","118411"
"118419","その他の靴下","6.0","14120.0","118419"
"118491","靴下（賃加工）","1.0","χ","118491.0"
"118512","作業用ニット手袋","7.0","14450.0","118512"
"118591","手袋（賃加工）","1.0","χ","118591.0"
"118611","織物製帽子","1.0","χ","118611"
"118619","その他の帽子（フェルト製、ニット製、帽体を含む）","2.0","χ","118619"
"118919","その他の衣服・繊維製身の回り品（ニット製を含む）","1.0","χ","118919"
"119111","ふとん（羊毛ふとんを含む）","2.0","χ","119111"
"119119","その他の寝具（毛布を除く）","4.0","8032.0","119119"
"119191","寝具（賃加工）","7.0","5411.0","119191.0"
"119211","毛布","4.0","35353.0","119211"
"119291","毛布（賃加工）","1.0","χ","119291.0"
"119311","じゅうたん、だん通","1.0","χ","119311"
"119312","タフテッドカーペット","2.0","χ","119312"
"119319","その他の繊維製床敷物、同類似品","5.0","363434.0","119319"
"119391","じゅうたん・その他の繊維製床敷物（賃加工）","8.0","55492.0","119391.0"
"119411","綿帆布製品","1.0","χ","119411"
"119412","合成繊維帆布製品","3.0","14194.0","119412"
"119419","その他の繊維製帆布製品","2.0","χ","119419"
"119491","帆布製品（賃加工）","1.0","χ","119491.0"
"119511","繊維製袋","2.0","χ","119511"
"119691","刺しゅう製品（賃加工）","2.0","χ","119691.0"
"119711","タオル（ハンカチーフを除く）","2.0","χ","119711"
"119791","タオル（賃加工）","4.0","6100.0","119791.0"
"119811","医療用ガーゼ、包帯","1.0","χ","119811"
"119891","繊維製衛生材料（賃加工）","2.0","χ","119891.0"
"119919","他に分類されない繊維製品（ニット製を含む）","24.0","509402.0","119919"
"119991","他に分類されない繊維製品（賃加工）","16.0","399740.0","119991.0"
"616600","製造工程からでたくず・廃物","1.0","χ","616600.0"
"","","","",""
"12　木材","12　木材・木製品製造業（家具を除く）","238.0","2954430.0","12　木材"
"121111","板類","40.0","166982.0","121111"
"121112","ひき割類","41.0","272410.0","121112"
"121113","ひき角類","35.0","260927.0","121113"
"121114","箱材、荷造用仕組材","10.0","44097.0","121114"
"121119","その他の製材製品","7.0","24743.0","121119"
"121121","木材の素材（製材工場からのもの）","1.0","χ","121121"
"121122","製材くず","9.0","2050.0","121122"
"121191","一般製材（賃加工）","17.0","53045.0","121191.0"
"121211","単板（ベニヤ）","1.0","χ","121211"
"121311","木材チップ","15.0","67251.0","121311"
"122111","造作材（建具を除く）","5.0","42670.0","122111"
"122211","普通合板","1.0","χ","122211"
"122212","特殊合板（集成材を除く）","1.0","χ","122212"
"122291","合板（賃加工）","1.0","χ","122291.0"
"122311","集成材","7.0","143997.0","122311"
"122391","集成材（賃加工）","1.0","χ","122391.0"
"122411","住宅建築用木製組立材料","9.0","1402732.0","122411"
"122491","パーティクルボード（賃加工）","6.0","80601.0","122491.0"
"122611","硬質繊維板","1.0","χ","122611"
"123111","竹・とう・きりゅう等容器","1.0","χ","123111"
"123211","木箱","7.0","18902.0","123211"
"123212","折箱","1.0","χ","123212"
"129911","柄、引手、つまみ、握り、台木、これらの類似品","2.0","χ","129911"
"129912","木製台所用品","1.0","χ","129912"
"129919","その他の木製品","15.0","126658.0","129919"
"129991","他に分類されない木製品（塗装を含む）（賃加工）","3.0","6977.0","129991.0"
"","","","",""
"13　家具","13　家具・装備品製造業","157.0","1641775.0","13　家具"
"131111","木製机・テーブル・いす","12.0","64280.0","131111"
"131113","たんす","9.0","30418.0","131113"
"131114","木製棚・戸棚","12.0","52461.0","131114"
"131115","木製音響機器用キャビネット","2.0","χ","131115"
"131116","木製ベッド","3.0","25686.0","131116"
"131119","その他の木製家具（漆塗りを除く）","21.0","297095.0","131119"
"131191","木製家具（塗装を含む）（賃加工）","5.0","13209.0","131191.0"
"131211","金属製机・テーブル・いす","2.0","χ","131211"
"131214","金属製流し台・調理台・ガス台（キャビネットが金属製のもの）","1.0","χ","131214"
"131215","金属製棚・戸棚","1.0","χ","131215"
"131219","その他の金属製家具","2.0","χ","131219"
"132111","宗教用具","1.0","χ","132111"
"133111","建具（金属製を除く）","70.0","864870.0","133111"
"133191","建具（塗装を含む）（賃加工）","9.0","17601.0","133191.0"
"139111","事務所用・店舗用装備品","2.0","χ","139111"
"139211","窓用・扉用日よけ","1.0","χ","139211"
"139212","びょうぶ、衣こう、すだれ、ついたて（掛軸、掛地図を含む）等","1.0","χ","139212"
"139311","鏡縁・額縁","1.0","χ","139311"
"139919","他に分類されない家具・装備品","2.0","χ","139919"
"","","","",""
"14　紙パ","14　パルプ・紙・紙加工品製造業","54.0","3209715.0","14　紙パ"
"142411","手すき和紙","1.0","χ","142411"
"143114","積層加工紙","2.0","χ","143114"
"143119","その他の塗工紙","1.0","χ","143119"
"143211","段ボール（シート）","2.0","χ","143211"
"144112","事務用書式類","1.0","χ","144112"
"144212","写真用紙製品","1.0","χ","144212"
"144919","その他の紙製品","2.0","χ","144919"
"145311","段ボール箱","15.0","1156741.0","145311"
"145391","段ボール箱（賃加工）","2.0","χ","145391.0"
"145411","印刷箱","8.0","163517.0","145411"
"145412","簡易箱","2.0","χ","145412"
"145413","貼箱","6.0","18734.0","145413"
"145419","その他の紙器","1.0","χ","145419"
"145491","紙器（賃加工）","5.0","13373.0","145491.0"
"149939","その他の紙製衛生用品","2.0","χ","149939"
"149941","紙管","1.0","χ","149941"
"149942","ソリッドファイバー・バルカナイズドファイバー製品","1.0","χ","149942"
"149959","他に分類されないパルプ・紙・紙加工品","1.0","χ","149959"
"","","","",""
"15　印刷","15　印刷・同関連業","113.0","1359182.0","15　印刷"
"151111","オフセット印刷物（紙に対するもの)","55.0","1016888.0","151111"
"151191","オフセット印刷物（紙に対するもの)（賃加工）","7.0","100048.0","151191.0"
"151211","とっ版印刷物（紙に対するもの）","14.0","22321.0","151211"
"151212","おう版印刷物（紙に対するもの）","2.0","χ","151212"
"151291","オフセット印刷以外の印刷（紙に対するもの）（賃加工）","2.0","χ","151291.0"
"151311","紙以外のものに対する印刷物","5.0","175147.0","151311"
"151391","紙以外のものに対する印刷（賃加工）","4.0","15198.0","151391.0"
"152111","写真製版（写真植字を含む）","2.0","χ","152111"
"153191","製本（賃加工）","10.0","7348.0","153191.0"
"153291","印刷物加工（賃加工）","9.0","3301.0","153291.0"
"159191","その他の印刷関連（賃加工）","2.0","χ","159191.0"
"656600","製造工程からでたくず・廃物","1.0","χ","656600.0"
"","","","",""
"16　化学","16　化学工業","189.0","39197937.0","16　化学"
"161919","その他の化学肥料","1.0","χ","161919"
"162111","か性ソーダ（液体９７％換算・固形有姿）","2.0","χ","162111"
"162112","ソーダ灰","1.0","χ","162112"
"162114","塩酸（３５％換算）","1.0","χ","162114"
"162116","次亜塩素酸ナトリウム","1.0","χ","162116"
"162311","酸素ガス（液化酸素を含む）","3.0","648606.0","162311"
"162312","水素ガス","1.0","χ","162312"
"162313","溶解アセチレン","1.0","χ","162313"
"162314","炭酸ガス","2.0","χ","162314"
"162315","窒素","3.0","243256.0","162315"
"162319","その他の圧縮ガス・液化ガス","3.0","340434.0","162319"
"162411","塩","1.0","χ","162411"
"162412","食卓塩（精製塩を含む）","1.0","χ","162412"
"162413","かん水、にがり","1.0","χ","162413"
"162921","硫酸（１００％換算）","1.0","χ","162921"
"162922","硫酸アルミニウム","1.0","χ","162922"
"162926","けい酸ナトリウム","1.0","χ","162926"
"162928","活性炭","1.0","χ","162928"
"162949","他に分類されない無機化学工業製品","9.0","465865.0","162949"
"163114","純ベンゾール（石油系）","1.0","χ","163114"
"163116","純キシロール（石油系）","1.0","χ","163116"
"163239","その他の脂肪族系中間物","1.0","χ","163239"
"163429","その他の環式中間物","12.0","3754613.0","163429"
"163431","直接染料","3.0","224595.0","163431"
"163432","分散性染料","2.0","χ","163432"
"163439","その他の合成染料","3.0","219294.0","163439"
"163441","ピグメントレジンカラー","1.0","χ","163441"
"163514","不飽和ポリエステル樹脂","1.0","χ","163514"
"163516","ポリエチレン","1.0","χ","163516"
"163522","メタクリル樹脂","1.0","χ","163522"
"163919","その他のメタン誘導品","1.0","χ","163919"
"163929","その他のコールタール製品","1.0","χ","163929"
"163941","有機ゴム薬品","1.0","χ","163941"
"163949","他に分類されない有機化学工業製品","7.0","379244.0","163949"
"163991","その他の有機化学工業製品（賃加工）","4.0","166119.0","163991.0"
"164111","脂肪酸（直分、硬分）","2.0","χ","164111"
"164112","精製脂肪酸","1.0","χ","164112"
"164114","精製グリセリン","1.0","χ","164114"
"164115","高級アルコール（還元、蒸留）","1.0","χ","164115"
"164119","その他の油脂加工製品","1.0","χ","164119"
"164211","浴用石けん（薬用、液状を含む）","3.0","783639.0","164211"
"164221","洗濯用合成洗剤","2.0","χ","164221"
"164222","台所用合成洗剤","1.0","χ","164222"
"164223","その他の家庭用合成洗剤","2.0","χ","164223"
"164224","液状身体洗浄剤（液状石けんを除く）","1.0","χ","164224"
"164225","工業用合成洗剤","2.0","χ","164225"
"164311","陰イオン界面活性剤","4.0","646773.0","164311"
"164312","陽イオン界面活性剤","3.0","160074.0","164312"
"164313","非イオン界面活性剤","5.0","1385804.0","164313"
"164319","その他の界面活性剤","4.0","98977.0","164319"
"164391","界面活性剤（賃加工）","3.0","19787.0","164391.0"
"164415","水系合成樹脂塗料","2.0","χ","164415"
"164419","その他の塗料、同関連製品","1.0","χ","164419"
"164511","一般インキ","1.0","χ","164511"
"164619","その他の洗浄剤・磨用剤","3.0","136862.0","164619"
"165111","医薬品原末、原液","5.0","315280.0","165111"
"165211","医薬品製剤（医薬部外品製剤を含む）","13.0","863596.0","165211"
"165291","医薬品製剤（医薬部外品製剤を含む）（賃加工）","4.0","349436.0","165291.0"
"165411","生薬・漢方","3.0","137269.0","165411"
"165511","動物用医薬品","1.0","χ","165511"
"166111","香水、オーデコロン","1.0","χ","166111"
"166114","口紅、ほお紅、アイシャドー","1.0","χ","166114"
"166115","クリーム","1.0","χ","166115"
"166116","化粧水","1.0","χ","166116"
"166117","乳液","1.0","χ","166117"
"166119","その他の仕上用・皮膚用化粧品","2.0","χ","166119"
"166211","シャンプー、ヘアリンス","4.0","1237582.0","166211"
"166219","その他の頭髪用化粧品","3.0","23094.0","166219"
"166291","頭髪用化粧品（賃加工）","1.0","χ","166291.0"
"166919","その他の化粧品・調整品","2.0","χ","166919"
"166921","歯磨","2.0","χ","166921"
"166991","その他の化粧品・歯磨・化粧用調整品（賃加工）","1.0","χ","166991.0"
"169211","殺虫剤","1.0","χ","169211"
"169229","その他の農薬","1.0","χ","169229"
"169313","調合香料","3.0","83810.0","169313"
"169411","ゼラチン、にかわ","1.0","χ","169411"
"169412","セルロース系接着剤、プラスチック系接着剤","1.0","χ","169412"
"169516","写真用化学薬品（調整、包装されたもの）","1.0","χ","169516"
"169711","試薬（診断用試薬を除く）","1.0","χ","169711"
"169911","デキストリン（可溶性でんぷんを含む）","3.0","189382.0","169911"
"169912","漂白剤","1.0","χ","169912"
"169919","その他の化学工業製品","8.0","3657020.0","169919"
"169991","他に分類されない化学工業製品（賃加工）","3.0","39320.0","169991.0"
"","","","",""
"17　石油","17　石油製品・石炭製品製造業","26.0","67359650.0","17　石油"
"171111","ガソリン","1.0","χ","171111"
"171112","ナフサ","1.0","χ","171112"
"171113","ジェット燃料油","1.0","χ","171113"
"171114","灯油","2.0","χ","171114"
"171115","軽油","1.0","χ","171115"
"171116","Ａ重油","1.0","χ","171116"
"171117","Ｂ重油、Ｃ重油","2.0","χ","171117"
"171118","潤滑油（グリースを含む）","1.0","χ","171118"
"171121","パラフィン","1.0","χ","171121"
"171122","アスファルト","1.0","χ","171122"
"171123","液化石油ガス","1.0","χ","171123"
"172111","潤滑油（購入した鉱・動・植物油によるもの）","2.0","χ","172111"
"172191","潤滑油・グリース（賃加工）","2.0","χ","172191.0"
"173111","コークス","1.0","χ","173111"
"174111","アスファルト舗装混合材、タール舗装混合材（アスファルトブロック、タールブロックを含む）","3.0","216997.0","174111"
"174191","舗装材料（賃加工）","1.0","χ","174191.0"
"179929","他に分類されない石油製品・石炭製品","2.0","χ","179929"
"179991","その他の石油製品・石炭製品（賃加工）","1.0","χ","179991.0"
"676600","製造工程からでたくず・廃物","1.0","χ","676600.0"
"","","","",""
"18　プラ","18　プラスチック製品製造業（別掲を除く）","171.0","4765647.0","18　プラ"
"181111","プラスチック平板（厚さ０．５ｍｍ以上で硬質のもの）","1.0","χ","181111"
"181311","プラスチック継手（バルブ、コックを含む）","4.0","95987.0","181311"
"181391","プラスチック継手（賃加工）","1.0","χ","181391.0"
"181419","その他のプラスチック異形押出製品","5.0","161784.0","181419"
"181491","プラスチック異形押出製品（賃加工）","1.0","χ","181491.0"
"181511","プラスチック板・棒・管・継手・異形押出製品の加工品（切断、接合、塗装、蒸着めっき、バフ加工等）","3.0","68155.0","181511"
"181591","プラスチック板・棒・管・継手・異形押出製品の加工品（賃加工）","2.0","χ","181591.0"
"182111","包装用軟質プラスチックフィルム（厚さ０．２ｍｍ未満で軟質のもの）","1.0","χ","182111"
"182211","プラスチックシート（厚さ０．２ｍｍ以上で軟質のもの）","4.0","376507.0","182211"
"182319","その他のプラスチック床材","1.0","χ","182319"
"182511","プラスチックフィルム・シート・床材・合成皮革加工品（切断、接合、塗装、蒸着めっき、バフ加工等）","6.0","546988.0","182511"
"183111","電気機械器具用プラスチック製品","6.0","35282.0","183111"
"183211","自動車用プラスチック製品","2.0","χ","183211"
"183212","輸送機械用プラスチック製品（自動車用を除く）","1.0","χ","183212"
"183291","輸送機械用プラスチック製品（賃加工）","1.0","χ","183291.0"
"183319","その他の工業用プラスチック製品","6.0","47131.0","183319"
"183391","その他の工業用プラスチック製品（賃加工）","3.0","6861.0","183391.0"
"183411","工業用プラスチック製品の加工品（切断、接合、塗装、蒸着めっき、バフ加工等）","7.0","135308.0","183411"
"183491","工業用プラスチック製品の加工品（賃加工）","3.0","15200.0","183491.0"
"184111","軟質プラスチック発泡製品（半硬質性を含む）","1.0","χ","184111"
"184191","軟質プラスチック発泡製品（半硬質性を含む）（賃加工）","2.0","χ","184191.0"
"184211","硬質プラスチック発泡製品（厚板）（厚さ３ｍｍ以上）","2.0","χ","184211"
"184219","その他の硬質プラスチック発泡製品","1.0","χ","184219"
"184311","強化プラスチック製板・棒・管・継手","1.0","χ","184311"
"184411","強化プラスチック製容器・浴槽・浄化槽","7.0","45939.0","184411"
"184412","工業用強化プラスチック製品","1.0","χ","184412"
"184419","その他の強化プラスチック製品","3.0","4965.0","184419"
"184511","発泡・強化プラスチック製品の加工品（切断、接合、塗装、蒸着めっき、バフ加工等）","3.0","63895.0","184511"
"184591","発泡・強化プラスチック製品の加工品（賃加工）","1.0","χ","184591.0"
"185111","プラスチック成形材料","2.0","χ","185111"
"185112","再生プラスチック成形材料","3.0","129950.0","185112"
"185191","プラスチック成形材料（賃加工）","2.0","χ","185191.0"
"185211","廃プラスチック製品","2.0","χ","185211"
"189111","日用雑貨・台所用品・食卓用品・浴室用品","32.0","1386492.0","189111"
"189191","プラスチック製日用雑貨・食卓用品等（賃加工）","9.0","27452.0","189191.0"
"189211","プラスチック製中空成形容器","4.0","134221.0","189211"
"189212","飲料用プラスチックボトル","1.0","χ","189212"
"189219","その他のプラスチック製容器","5.0","128125.0","189219"
"189291","プラスチック製容器（賃加工）","1.0","χ","189291.0"
"189711","医療・衛生用プラスチック製品","1.0","χ","189711"
"189719","その他のプラスチック製品","9.0","426722.0","189719"
"189791","他に分類されないプラスチック製品（賃加工）","1.0","χ","189791.0"
"189819","他に分類されないプラスチック製品の加工品（切断、接合、塗装、蒸着めっき、バフ加工等）","15.0","524165.0","189819"
"189891","他に分類されないプラスチック製品の加工品（賃加工）","4.0","1404.0","189891.0"
"","","","",""
"19　ゴム","19　ゴム製品製造業","26.0","1419466.0","19　ゴム"
"192191","ゴム製履物・同附属品（賃加工）","2.0","χ","192191.0"
"193119","その他のゴムベルト","1.0","χ","193119"
"193211","ゴムホース","1.0","χ","193211"
"193291","ゴムホース（賃加工）","1.0","χ","193291.0"
"193311","防振ゴム","1.0","χ","193311"
"193312","ゴムロール","1.0","χ","193312"
